"country","SFTGcode","COW","risk_in_2019","risk_in_2019_20","anymk.ongoing","anymk.ever","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage.ln","popsize.ln.combined","imr.sqrt","gdppcgrowth.combined","ios.iccpr1","includesnonstate","durable.ln","minorityrule","elf.ethnic","battledeaths.ln","candidaterestriction","partyban","judicialreform","religiousfreedom","pol_killing_approved","freemove_men4","freemove_women4","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","tradeshare.ln.combined","coup.try.5yr","polity2.fl.2","polity2.fl.3"
"Afghanistan","AFG",700,0.08977,0.2081,1,1,0,0,0,0,1,4.60517018598809,17.4277356673341,6.92098258919931,0.00181561087168247,0,1,1.6094379124341,0,0.77,10.1534677578039,1,4,1,2,0,0,0,0.61,0,0,0,1,-0.91,-2.35914777816913,0,1,0
"Democratic Republic of Congo","ZAI",490,0.07177,0.1382,1,1,1,0,0,0,0,4.07753744390572,18.2400426926,8.25832912882503,0.0407750917694594,1,1,1.09861228866811,1,0.87,6.04263283368238,1,4,2,3,0,0,0,0.409,0,0,0,1,-0.695,-2.08349797681041,0,1,0
"Pakistan","PAK",770,0.06699,0.1794,1,1,0,0,0,0,1,4.27666611901606,19.1642138693071,7.56306816047562,0.0380725463740023,0,1,2.39789527279837,1,0.71,5.29330482472449,1,4,1,1,1,0,0,0.547,0,0,0,1,-1.337,-3.11168388495533,0,0,1
"Yemen","YEM",679,0.06481,0.184,0,0,0,0,0,1,0,3.36729582998647,17.164069714904,6.54980915752513,-0.0289425131217315,0,1,0,1,0.135,8.41715183723601,1,4,1,0,1,0,0,0.231,1,0,0,1,-1.21,-2.80311933974335,0,1,0
"South Sudan","SSD",626,0.06471,0.1559,1,1,1,0,0,0,0,2.07944154167984,16.2237773036872,7.98122797569397,-0.0065,0,1,0,1,0.73,6.28599809450886,1,3,1,2,1,0,0,0.112,1,0,1,1,-1.664,-1.57066599339285,0,1,0
"Sudan","SUD",625,0.06059,0.121,1,1,1,0,0,0,0,4.14313472639153,17.5443584027932,6.48845127900333,-0.0258054335139856,0,1,2.07944154167984,1,0.71,5.50938833662798,1,3,1,1,1,0,0,0.175,0,0,0,1,-0.241,-3.34736766134705,0,1,0
"Somalia","SOM",520,0.05361,0.09386,1,1,1,0,0,0,0,4.07753744390572,16.5306337506932,8.75214259481643,0.024,1,1,1.94591014905531,0,0.81,7.69984240739699,1,4,1,1,0,0,0,0.473,0,0,0,1,-0.185,-1.45359966107972,0,1,0
"Egypt","EGY",651,0.04689,0.1375,0,1,0,0,0,1,0,4.18965474202643,18.3972612696325,4.25440947723653,0.0371174492681995,1,1,1.79175946922805,0,0.18,6.55819780281227,1,3,1,2,0,0,0,0.182,1,0,0,1,-0.174,-2.50885970066416,0,1,0
"Ethiopia","ETI",530,0.0424,0.07521,1,1,1,0,0,0,0,7.6586995582683,18.5011347029211,6.25299928034539,0.0494470251561767,0,1,0,1,0.72,0,1,4,2,3,0,0,0,0.536,0,0,0,1,0.15,-2.99217789618874,0,1,0
"Cameroon","CAO",471,0.03964,0.07591,0,0,1,0,0,0,0,4.07753744390572,17.0428372890981,7.1133676975115,0.0251325654639157,1,1,3.29583686600433,1,0.86,6.62804137617953,0,4,1,4,0,0,0,0.364,0,0,0,1,-0.059,-2.73501406748219,0,1,0
"Angola","ANG",540,0.03113,0.07267,0,1,1,0,0,0,0,3.78418963391826,17.241387231661,7.18331399842719,-0.0242615331755644,1,1,3.09104245335832,1,0.79,0,1,4,1,3,0,0,0,0.493,0,0,0,1,-1.283,-2.3276971483657,0,1,0
"India","IND",750,0.02954,0.06735,1,1,0,0,0,0,1,4.27666611901606,21.0154125955413,5.46808924579693,0.0508659038515786,0,1,4.23410650459726,0,0.42,6.58202513889283,1,4,1,3,0,1,1,0.779,0,0,0,1,0.383,-2.63349861819157,0,0,1
"Libya","LIB",620,0.02577,0.06851,0,1,0,0,0,1,0,4.21950770517611,15.7412805196629,3.19374388453426,0.0579198138392791,1,1,0,0,0.79,3.80666248977032,1,3,1,1,0,0,0,0.249,0,0,0,1,1.684,-1.51836757017956,0,1,0
"Republic of the Congo","CON",484,0.02551,0.06544,0,1,1,0,0,0,0,4.07753744390572,15.5094017127219,6.01664358259653,0.0017735313680567,1,1,3.09104245335832,0,0.87,0,1,4,1,3,1,0,0,0.17,0,0,0,1,0.009,-1.2213293818499,0,1,0
"Nigeria","NIG",475,0.02529,0.05211,1,1,1,0,0,0,0,4.07753744390572,19.0841878811844,8.70057469366248,0.00928735617286558,0,1,1.38629436111989,0,0.85,7.06646697013696,0,4,2,3,0,1,1,0.814,0,0,0,1,-0.618,-3.42316960444765,0,0,1
"Turkey","TUR",640,0.02462,0.03932,0,1,0,0,1,0,0,4.56434819146784,18.2190896674637,3.01662062579967,0.0144741403034939,1,1,1.09861228866811,1,0.32,6.78784498230958,1,4,0,2,0,1,0,0.143,1,0,0,1,1.108,-2.26142691753521,1,1,0
"Uganda","UGA",500,0.02407,0.05193,0,1,1,0,0,0,0,4.04305126783455,17.5660371086334,5.81377674149945,0.0435129917665664,1,1,2.63905732961526,0,0.93,5.81413053182507,1,4,1,4,0,1,0,0.371,0,0,0,1,1.548,-2.52016214822827,0,1,0
"Burundi","BUI",516,0.02377,0.05431,0,1,1,0,0,0,0,4.04305126783455,16.2413868072262,6.40312423743285,0.00650759269841058,0,1,1.38629436111989,0,0.3,0,1,3,0,4,1,0,0,0.067,0,1,0,1,-0.681,-2.76885463317771,1,1,0
"Haiti","HAI",41,0.02344,0.03769,0,1,0,0,0,0,0,5.37063802812766,16.2368079356749,7.03562363973514,0.00555081573769512,0,1,0.693147180559945,1,0.1,0,1,4,0,3,0,0,0,0.46,0,0,0,1,-0.633,-2.01432545049795,0,1,0
"Syria","SYR",652,0.02331,0.05356,1,1,0,0,0,1,0,4.29045944114839,16.6478742422253,3.74165738677394,-0.137931034482759,0,1,4.02535169073515,1,0.54,9.35001535404867,1,2,0,2,1,0,0,0.108,1,0,0,1,-1.662,-1.22727749164146,0,0,0
"Burma/Myanmar","MYA",775,0.0228,0.03858,1,1,0,1,0,0,0,4.26267987704132,17.7936686661806,6.06630035524124,0.0444187785070249,0,1,1.09861228866811,0,0.51,4.57471097850338,1,4,1,2,0,0,0,0.639,1,0,0,1,-0.049,-2.74362851181663,0,0,1
"Rwanda","RWA",517,0.02278,0.03877,0,1,1,0,0,0,0,4.04305126783455,16.3354141925217,5.19615242270663,0.0647885601534069,0,1,3.2188758248682,1,0.32,3.25809653802148,1,2,1,3,0,0,0,0.309,0,0,0,1,-0.472,-2.43734421653079,0,1,0
"Venezuela","VEN",101,0.02255,0.02963,0,0,0,0,0,0,0,5.24174701505964,17.1769089307494,4.62601340248815,-0.132867132867133,1,1,0.693147180559945,1,0.5,0,1,3,1,3,0,0,0,0.364,0,0,0,1,0.764,-1.51362116839082,0,1,0
"Chad","CHA",483,0.02197,0.03874,0,1,1,0,0,0,0,4.07753744390572,16.5609437560044,8.44985206971104,0.0150898326923705,1,1,3.29583686600433,1,0.86,5.01727983681492,0,4,0,3,0,1,0,0.415,0,0,0,1,-1.137,-2.04193746948967,0,1,0
